Seed: 100 Episode: 1/4000, Total Reward: 11.0
Seed: 100 Episode: 2/4000, Total Reward: 11.0
Seed: 100 Episode: 3/4000, Total Reward: 13.0
Seed: 100 Episode: 4/4000, Total Reward: 13.0
Seed: 100 Episode: 5/4000, Total Reward: 11.0
Seed: 100 Episode: 6/4000, Total Reward: 11.0
Seed: 100 Episode: 7/4000, Total Reward: 11.0
Seed: 100 Episode: 8/4000, Total Reward: 11.0
Seed: 100 Episode: 9/4000, Total Reward: 11.0
Seed: 100 Episode: 10/4000, Total Reward: 11.0
Seed: 100 Episode: 11/4000, Total Reward: 11.0
Seed: 100 Episode: 12/4000, Total Reward: 11.0
Seed: 100 Episode: 13/4000, Total Reward: 11.0
Seed: 100 Episode: 14/4000, Total Reward: 11.0
Seed: 100 Episode: 15/4000, Total Reward: 11.0
Seed: 100 Episode: 16/4000, Total Reward: 11.0
Seed: 100 Episode: 17/4000, Total Reward: 11.0
Seed: 100 Episode: 18/4000, Total Reward: 11.0
Seed: 100 Episode: 19/4000, Total Reward: 11.0
Seed: 100 Episode: 20/4000, Total Reward: 11.0
Seed: 100 Episode: 21/4000, Total Reward: 11.0
Seed: 100 Episode: 22/4000, Total Reward: 11.0
Seed: 100 Episode: 23/4000, Total Reward: 11.0
Seed: 100 Episode: 24/4000, Total Reward: 11.0
Seed: 100 Episode: 25/4000, Total Reward: 12.0
Seed: 100 Episode: 26/4000, Total Reward: 11.0
Seed: 100 Episode: 27/4000, Total Reward: 11.0
Seed: 100 Episode: 28/4000, Total Reward: 11.0
Seed: 100 Episode: 29/4000, Total Reward: 11.0
Seed: 100 Episode: 30/4000, Total Reward: 14.0
Seed: 100 Episode: 31/4000, Total Reward: 11.0
Seed: 100 Episode: 32/4000, Total Reward: 11.0
Seed: 100 Episode: 33/4000, Total Reward: 11.0
Seed: 100 Episode: 34/4000, Total Reward: 11.0
Seed: 100 Episode: 35/4000, Total Reward: 13.0
Seed: 100 Episode: 36/4000, Total Reward: 10.0
Seed: 100 Episode: 37/4000, Total Reward: 11.0
Seed: 100 Episode: 38/4000, Total Reward: 11.0
Seed: 100 Episode: 39/4000, Total Reward: 11.0
Seed: 100 Episode: 40/4000, Total Reward: 11.0
Seed: 100 Episode: 41/4000, Total Reward: 11.0
Seed: 100 Episode: 42/4000, Total Reward: 11.0
Seed: 100 Episode: 43/4000, Total Reward: 11.0
Seed: 100 Episode: 44/4000, Total Reward: 11.0
Seed: 100 Episode: 45/4000, Total Reward: 11.0
